,valid_from,valid_to,spot_price,spot_price_without_vat,tariff,fixed_price,import_fee,purchase_price,export_fee,sell_price
2024-09-30 22:00:00+00:00,2024-09-30 22:00:00+00:00,2024-09-30 23:00:00+00:00,0.029972572500000003,0.023978058000000003,0.1431,0.0,0.8999999999999999,1.0730725724999999,0.05,-0.026021942
2024-09-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,2024-10-01 00:00:00+00:00,0.0006536075000000001,0.0005228860000000001,0.1431,0.0,0.8999999999999999,1.0437536075,0.05,-0.049477114
2024-10-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,2024-10-01 01:00:00+00:00,0.0004668625,0.00037349000000000003,0.1431,0.0,0.8999999999999999,1.0435668625,0.05,-0.049626510000000006
2024-10-01 01:00:00+00:00,2024-10-01 01:00:00+00:00,2024-10-01 02:00:00+00:00,0.00018674500000000002,0.00014939600000000002,0.1431,0.0,0.8999999999999999,1.043286745,0.05,-0.049850604
2024-10-01 02:00:00+00:00,2024-10-01 02:00:00+00:00,2024-10-01 03:00:00+00:00,0.0008403524999999999,0.000672282,0.1431,0.0,0.8999999999999999,1.0439403525,0.05,-0.049327718
2024-10-01 03:00:00+00:00,2024-10-01 03:00:00+00:00,2024-10-01 04:00:00+00:00,0.030812924999999998,0.02465034,0.1431,0.0,0.8999999999999999,1.073912925,0.05,-0.025349660000000003
2024-10-01 04:00:00+00:00,2024-10-01 04:00:00+00:00,2024-10-01 05:00:00+00:00,0.09402610750000001,0.07522088600000001,0.4293,0.0,0.8999999999999999,1.4233261075,0.05,0.025220886000000012
2024-10-01 05:00:00+00:00,2024-10-01 05:00:00+00:00,2024-10-01 06:00:00+00:00,0.36807439500000005,0.29445951600000003,0.4293,0.0,0.8999999999999999,1.697374395,0.05,0.24445951600000004
2024-10-01 06:00:00+00:00,2024-10-01 06:00:00+00:00,2024-10-01 07:00:00+00:00,0.38581517000000004,0.308652136,0.4293,0.0,0.8999999999999999,1.71511517,0.05,0.25865213600000003
2024-10-01 07:00:00+00:00,2024-10-01 07:00:00+00:00,2024-10-01 08:00:00+00:00,0.3875892475,0.310071398,0.4293,0.0,0.8999999999999999,1.7168892475,0.05,0.260071398
2024-10-01 08:00:00+00:00,2024-10-01 08:00:00+00:00,2024-10-01 09:00:00+00:00,0.3608847125,0.28870777,0.4293,0.0,0.8999999999999999,1.6901847125,0.05,0.23870776999999999
2024-10-01 09:00:00+00:00,2024-10-01 09:00:00+00:00,2024-10-01 10:00:00+00:00,0.3267103775,0.261368302,0.4293,0.0,0.8999999999999999,1.6560103775,0.05,0.211368302
2024-10-01 10:00:00+00:00,2024-10-01 10:00:00+00:00,2024-10-01 11:00:00+00:00,0.29169569,0.233356552,0.4293,0.0,0.8999999999999999,1.62099569,0.05,0.183356552
2024-10-01 11:00:00+00:00,2024-10-01 11:00:00+00:00,2024-10-01 12:00:00+00:00,0.2800241275,0.224019302,0.4293,0.0,0.8999999999999999,1.6093241275,0.05,0.174019302
2024-10-01 12:00:00+00:00,2024-10-01 12:00:00+00:00,2024-10-01 13:00:00+00:00,0.32643025999999997,0.261144208,0.4293,0.0,0.8999999999999999,1.65573026,0.05,0.211144208
2024-10-01 13:00:00+00:00,2024-10-01 13:00:00+00:00,2024-10-01 14:00:00+00:00,0.3707821975,0.296625758,0.4293,0.0,0.8999999999999999,1.7000821975,0.05,0.24662575800000003
2024-10-01 14:00:00+00:00,2024-10-01 14:00:00+00:00,2024-10-01 15:00:00+00:00,0.40673061000000005,0.325384488,0.4293,0.0,0.8999999999999999,1.73603061,0.05,0.27538448800000004
2024-10-01 15:00:00+00:00,2024-10-01 15:00:00+00:00,2024-10-01 16:00:00+00:00,0.49216644750000005,0.393733158,1.2878,0.0,0.8999999999999999,2.6799664475,0.05,0.34373315800000004
2024-10-01 16:00:00+00:00,2024-10-01 16:00:00+00:00,2024-10-01 17:00:00+00:00,0.5079464,0.40635712,1.2878,0.0,0.8999999999999999,2.6957464,0.05,0.35635712
2024-10-01 17:00:00+00:00,2024-10-01 17:00:00+00:00,2024-10-01 18:00:00+00:00,0.5277413700000001,0.42219309600000005,1.2878,0.0,0.8999999999999999,2.7155413699999995,0.05,0.37219309600000006
2024-10-01 18:00:00+00:00,2024-10-01 18:00:00+00:00,2024-10-01 19:00:00+00:00,0.45939270000000004,0.36751416000000003,1.2878,0.0,0.8999999999999999,2.6471927,0.05,0.31751416000000005
2024-10-01 19:00:00+00:00,2024-10-01 19:00:00+00:00,2024-10-01 20:00:00+00:00,0.4325947925,0.34607583399999997,0.4293,0.0,0.8999999999999999,1.7618947924999997,0.05,0.296075834
2024-10-01 20:00:00+00:00,2024-10-01 20:00:00+00:00,2024-10-01 21:00:00+00:00,0.40280896499999996,0.32224717199999997,0.4293,0.0,0.8999999999999999,1.732108965,0.05,0.272247172
2024-10-01 21:00:00+00:00,2024-10-01 21:00:00+00:00,2024-10-01 22:00:00+00:00,0.38814948250000003,0.310519586,0.4293,0.0,0.8999999999999999,1.7174494825,0.05,0.260519586
2024-10-01 22:00:00+00:00,2024-10-01 22:00:00+00:00,2024-10-01 23:00:00+00:00,0.54193399,0.433547192,0.1431,0.0,0.8999999999999999,1.58503399,0.05,0.38354719200000004
2024-10-01 23:00:00+00:00,2024-10-01 23:00:00+00:00,2024-10-02 00:00:00+00:00,0.459952935,0.367962348,0.1431,0.0,0.8999999999999999,1.503052935,0.05,0.317962348
2024-10-02 00:00:00+00:00,2024-10-02 00:00:00+00:00,2024-10-02 01:00:00+00:00,0.4677028525,0.374162282,0.1431,0.0,0.8999999999999999,1.5108028525,0.05,0.324162282
2024-10-02 01:00:00+00:00,2024-10-02 01:00:00+00:00,2024-10-02 02:00:00+00:00,0.4574318775,0.365945502,0.1431,0.0,0.8999999999999999,1.5005318774999998,0.05,0.315945502
2024-10-02 02:00:00+00:00,2024-10-02 02:00:00+00:00,2024-10-02 03:00:00+00:00,0.375917685,0.300734148,0.1431,0.0,0.8999999999999999,1.4190176849999996,0.05,0.250734148
2024-10-02 03:00:00+00:00,2024-10-02 03:00:00+00:00,2024-10-02 04:00:00+00:00,0.455097565,0.364078052,0.1431,0.0,0.8999999999999999,1.498197565,0.05,0.314078052
2024-10-02 04:00:00+00:00,2024-10-02 04:00:00+00:00,2024-10-02 05:00:00+00:00,0.746793255,0.597434604,0.4293,0.0,0.8999999999999999,2.076093255,0.05,0.547434604
2024-10-02 05:00:00+00:00,2024-10-02 05:00:00+00:00,2024-10-02 06:00:00+00:00,0.8675238974999999,0.6940191179999999,0.4293,0.0,0.8999999999999999,2.1968238975,0.05,0.6440191179999999
2024-10-02 06:00:00+00:00,2024-10-02 06:00:00+00:00,2024-10-02 07:00:00+00:00,1.1441866150000002,0.9153492920000001,0.4293,0.0,0.8999999999999999,2.473486615,0.05,0.8653492920000001
2024-10-02 07:00:00+00:00,2024-10-02 07:00:00+00:00,2024-10-02 08:00:00+00:00,0.8779816175,0.702385294,0.4293,0.0,0.8999999999999999,2.2072816175,0.05,0.652385294
2024-10-02 08:00:00+00:00,2024-10-02 08:00:00+00:00,2024-10-02 09:00:00+00:00,0.607107995,0.48568639599999996,0.4293,0.0,0.8999999999999999,1.936407995,0.05,0.435686396
2024-10-02 09:00:00+00:00,2024-10-02 09:00:00+00:00,2024-10-02 10:00:00+00:00,0.4938471525,0.395077722,0.4293,0.0,0.8999999999999999,1.8231471525,0.05,0.34507772200000003
2024-10-02 10:00:00+00:00,2024-10-02 10:00:00+00:00,2024-10-02 11:00:00+00:00,0.53969305,0.43175444,0.4293,0.0,0.8999999999999999,1.8689930499999998,0.05,0.38175444000000003
2024-10-02 11:00:00+00:00,2024-10-02 11:00:00+00:00,2024-10-02 12:00:00+00:00,0.7476336075,0.598106886,0.4293,0.0,0.8999999999999999,2.0769336074999996,0.05,0.5481068859999999
2024-10-02 12:00:00+00:00,2024-10-02 12:00:00+00:00,2024-10-02 13:00:00+00:00,0.7320404000000001,0.5856323200000001,0.4293,0.0,0.8999999999999999,2.0613403999999997,0.05,0.53563232
2024-10-02 13:00:00+00:00,2024-10-02 13:00:00+00:00,2024-10-02 14:00:00+00:00,0.7603322675,0.608265814,0.4293,0.0,0.8999999999999999,2.0896322675,0.05,0.558265814
2024-10-02 14:00:00+00:00,2024-10-02 14:00:00+00:00,2024-10-02 15:00:00+00:00,0.7610792475,0.608863398,0.4293,0.0,0.8999999999999999,2.0903792475,0.05,0.558863398
2024-10-02 15:00:00+00:00,2024-10-02 15:00:00+00:00,2024-10-02 16:00:00+00:00,0.9346587249999999,0.7477269799999999,1.2878,0.0,0.8999999999999999,3.1224587250000004,0.05,0.6977269799999999
2024-10-02 16:00:00+00:00,2024-10-02 16:00:00+00:00,2024-10-02 17:00:00+00:00,1.0925516225,0.8740412980000001,1.2878,0.0,0.8999999999999999,3.2803516225,0.05,0.824041298
2024-10-02 17:00:00+00:00,2024-10-02 17:00:00+00:00,2024-10-02 18:00:00+00:00,1.2144961075,0.9715968859999999,1.2878,0.0,0.8999999999999999,3.4022961075,0.05,0.9215968859999999
2024-10-02 18:00:00+00:00,2024-10-02 18:00:00+00:00,2024-10-02 19:00:00+00:00,1.0679012825,0.854321026,1.2878,0.0,0.8999999999999999,3.2557012824999996,0.05,0.804321026
2024-10-02 19:00:00+00:00,2024-10-02 19:00:00+00:00,2024-10-02 20:00:00+00:00,0.901418115,0.721134492,0.4293,0.0,0.8999999999999999,2.230718115,0.05,0.671134492
2024-10-02 20:00:00+00:00,2024-10-02 20:00:00+00:00,2024-10-02 21:00:00+00:00,0.8711654249999999,0.6969323399999999,0.4293,0.0,0.8999999999999999,2.2004654249999995,0.05,0.6469323399999999
