,valid_from,valid_to,spot_price,spot_price_without_vat,tariff,fixed_price,import_fee,purchase_price,export_fee,sell_price
2025-09-30 22:00:00+00:00,2025-09-30 22:00:00+00:00,2025-09-30 22:15:00+00:00,0.95650789,0.765206312,0.122,0.0,0.8999999999999999,1.9785078899999997,0.05,0.715206312
2025-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2025-09-30 23:15:00+00:00,0.8389519125,0.67116153,0.122,0.0,0.8999999999999999,1.8609519124999998,0.05,0.62116153
2025-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,2025-10-01 01:00:00+00:00,0.7908937500000001,0.632715,0.122,0.0,0.8999999999999999,1.8128937499999997,0.05,0.582715
2025-10-01 01:00:00+00:00,2025-10-01 01:00:00+00:00,2025-10-01 02:00:00+00:00,0.8227593750000001,0.6582075000000001,0.122,0.0,0.8999999999999999,1.844759375,0.05,0.6082075
2025-10-01 02:00:00+00:00,2025-10-01 02:00:00+00:00,2025-10-01 03:00:00+00:00,0.8166968750000001,0.6533575,0.122,0.0,0.8999999999999999,1.838696875,0.05,0.6033575
2025-10-01 03:00:00+00:00,2025-10-01 03:00:00+00:00,2025-10-01 04:00:00+00:00,0.8887093749999999,0.7109675,0.122,0.0,0.8999999999999999,1.9107093749999997,0.05,0.6609674999999999
2025-10-01 04:00:00+00:00,2025-10-01 04:00:00+00:00,2025-10-01 05:00:00+00:00,1.166059375,0.9328474999999999,0.3661,0.0,0.8999999999999999,2.432159375,0.05,0.8828474999999999
2025-10-01 05:00:00+00:00,2025-10-01 05:00:00+00:00,2025-10-01 06:00:00+00:00,1.6175031249999998,1.2940025,0.3661,0.0,0.8999999999999999,2.883603125,0.05,1.2440025
2025-10-01 06:00:00+00:00,2025-10-01 06:00:00+00:00,2025-10-01 07:00:00+00:00,1.2981437500000002,1.038515,0.3661,0.0,0.8999999999999999,2.5642437499999997,0.05,0.988515
2025-10-01 07:00:00+00:00,2025-10-01 07:00:00+00:00,2025-10-01 08:00:00+00:00,0.9853093749999999,0.7882475,0.3661,0.0,0.8999999999999999,2.251409375,0.05,0.7382475
2025-10-01 08:00:00+00:00,2025-10-01 08:00:00+00:00,2025-10-01 09:00:00+00:00,0.8038406249999999,0.6430724999999999,0.3661,0.0,0.8999999999999999,2.069940625,0.05,0.5930724999999999
2025-10-01 09:00:00+00:00,2025-10-01 09:00:00+00:00,2025-10-01 10:00:00+00:00,0.6603750000000002,0.5283000000000001,0.3661,0.0,0.8999999999999999,1.926475,0.05,0.4783000000000001
2025-10-01 10:00:00+00:00,2025-10-01 10:00:00+00:00,2025-10-01 11:00:00+00:00,0.6160750000000002,0.4928600000000001,0.3661,0.0,0.8999999999999999,1.8821750000000002,0.05,0.4428600000000001
2025-10-01 11:00:00+00:00,2025-10-01 11:00:00+00:00,2025-10-01 12:00:00+00:00,0.638259375,0.5106075,0.3661,0.0,0.8999999999999999,1.904359375,0.05,0.4606075
2025-10-01 12:00:00+00:00,2025-10-01 12:00:00+00:00,2025-10-01 13:00:00+00:00,0.67770625,0.542165,0.3661,0.0,0.8999999999999999,1.94380625,0.05,0.492165
2025-10-01 13:00:00+00:00,2025-10-01 13:00:00+00:00,2025-10-01 14:00:00+00:00,0.7582125000000001,0.60657,0.3661,0.0,0.8999999999999999,2.0243125,0.05,0.55657
2025-10-01 14:00:00+00:00,2025-10-01 14:00:00+00:00,2025-10-01 15:00:00+00:00,0.846790625,0.6774325,0.3661,0.0,0.8999999999999999,2.112890625,0.05,0.6274325
2025-10-01 15:00:00+00:00,2025-10-01 15:00:00+00:00,2025-10-01 16:00:00+00:00,1.2911687500000002,1.0329350000000002,1.0985,0.0,0.8999999999999999,3.2896687499999997,0.05,0.9829350000000001
2025-10-01 16:00:00+00:00,2025-10-01 16:00:00+00:00,2025-10-01 17:00:00+00:00,2.3631687500000003,1.890535,1.0985,0.0,0.8999999999999999,4.36166875,0.05,1.840535
2025-10-01 17:00:00+00:00,2025-10-01 17:00:00+00:00,2025-10-01 18:00:00+00:00,3.172771875,2.5382175,1.0985,0.0,0.8999999999999999,5.1712718749999995,0.05,2.4882175
2025-10-01 18:00:00+00:00,2025-10-01 18:00:00+00:00,2025-10-01 19:00:00+00:00,1.4187031250000002,1.1349625,1.0985,0.0,0.8999999999999999,3.4172031250000003,0.05,1.0849625
2025-10-01 19:00:00+00:00,2025-10-01 19:00:00+00:00,2025-10-01 20:00:00+00:00,1.0548531250000002,0.8438825000000001,0.3661,0.0,0.8999999999999999,2.320953125,0.05,0.7938825
2025-10-01 20:00:00+00:00,2025-10-01 20:00:00+00:00,2025-10-01 21:00:00+00:00,0.9192218750000001,0.7353775,0.3661,0.0,0.8999999999999999,2.185321875,0.05,0.6853775
2025-10-01 21:00:00+00:00,2025-10-01 21:00:00+00:00,2025-10-01 22:00:00+00:00,0.845784375,0.6766275,0.3661,0.0,0.8999999999999999,2.1118843750000003,0.05,0.6266275
2025-10-01 22:00:00+00:00,2025-10-01 22:00:00+00:00,2025-10-01 23:00:00+00:00,0.8474000000000002,0.6779200000000001,0.122,0.0,0.8999999999999999,1.8694,0.05,0.62792
2025-10-01 23:00:00+00:00,2025-10-01 23:00:00+00:00,2025-10-02 00:00:00+00:00,0.8209875,0.65679,0.122,0.0,0.8999999999999999,1.8429874999999998,0.05,0.6067899999999999
2025-10-02 00:00:00+00:00,2025-10-02 00:00:00+00:00,2025-10-02 01:00:00+00:00,0.806640625,0.6453125,0.122,0.0,0.8999999999999999,1.8286406249999998,0.05,0.5953124999999999
