time,battery_charge,battery_discharge,consumption,pv,grid_import,grid_export,soc,valid_from,valid_to,charge_mode,allow_export_to_grid,value,has_rule,max_charge,max_discharge,max_battery_soc,min_battery_soc,min_battery_soc_for_sell
2024-09-30 22:00:00+00:00,0.0,110.0,100.0,0.0,0.0,0.0,0.14,,,,,,,,,,,
2024-09-30 22:10:00+00:00,0.0,110.0,100.0,0.0,0.0,0.0,0.13,,,,,,,,,,,
2024-09-30 22:20:00+00:00,0.0,110.0,100.0,0.0,0.0,0.0,0.13,,,,,,,,,,,
2024-09-30 22:30:00+00:00,0.0,140.0,120.0,0.0,0.0,0.0,0.13,,,,,,,,,,,
2024-09-30 22:40:00+00:00,0.0,160.0,150.0,0.0,0.0,0.0,0.13,,,,,,,,,,,
2024-09-30 22:50:00+00:00,0.0,110.0,100.0,0.0,0.0,0.0,0.13,,,,,,,,,,,
2024-09-30 23:00:00+00:00,0.0,160.0,140.0,0.0,0.0,0.0,0.12,,,,,,,,,,,
2024-09-30 23:10:00+00:00,0.0,1040.0,2980.0,0.0,2280.0,0.0,0.11,,,,,,,,,,,
2024-09-30 23:20:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-09-30 23:30:00+00:00,0.0,0.0,140.0,0.0,140.0,0.0,0.1,,,,,,,,,,,
2024-09-30 23:40:00+00:00,0.0,0.0,120.0,0.0,120.0,0.0,0.1,,,,,,,,,,,
2024-09-30 23:50:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 00:00:00+00:00,0.0,0.0,140.0,0.0,140.0,0.0,0.1,,,,,,,,,,,
2024-10-01 00:10:00+00:00,0.0,0.0,120.0,0.0,120.0,0.0,0.1,,,,,,,,,,,
2024-10-01 00:20:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 00:30:00+00:00,0.0,0.0,120.0,0.0,120.0,0.0,0.1,,,,,,,,,,,
2024-10-01 00:40:00+00:00,0.0,0.0,140.0,0.0,140.0,0.0,0.1,,,,,,,,,,,
2024-10-01 00:50:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 01:00:00+00:00,0.0,0.0,120.0,0.0,120.0,0.0,0.1,,,,,,,,,,,
2024-10-01 01:10:00+00:00,0.0,0.0,140.0,0.0,140.0,0.0,0.1,,,,,,,,,,,
2024-10-01 01:20:00+00:00,0.0,0.0,110.0,0.0,110.0,0.0,0.1,,,,,,,,,,,
2024-10-01 01:30:00+00:00,0.0,0.0,120.0,0.0,120.0,0.0,0.1,,,,,,,,,,,
2024-10-01 01:40:00+00:00,0.0,0.0,140.0,0.0,140.0,0.0,0.1,,,,,,,,,,,
2024-10-01 01:50:00+00:00,0.0,0.0,110.0,0.0,110.0,0.0,0.1,,,,,,,,,,,
2024-10-01 02:00:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 02:10:00+00:00,0.0,0.0,140.0,0.0,140.0,0.0,0.1,,,,,,,,,,,
2024-10-01 02:20:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 02:30:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 02:40:00+00:00,0.0,0.0,120.0,0.0,120.0,0.0,0.1,,,,,,,,,,,
2024-10-01 02:50:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 03:00:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 03:10:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 03:20:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 03:30:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 03:40:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 03:50:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 04:00:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 04:10:00+00:00,0.0,0.0,100.0,0.0,100.0,0.0,0.1,,,,,,,,,,,
2024-10-01 04:20:00+00:00,0.0,0.0,1580.0,0.0,1580.0,0.0,0.1,,,,,,,,,,,
2024-10-01 04:30:00+00:00,0.0,0.0,3020.0,0.0,3020.0,0.0,0.1,,,,,,,,,,,
2024-10-01 04:40:00+00:00,0.0,0.0,2990.0,0.0,2990.0,0.0,0.1,,,,,,,,,,,
2024-10-01 04:50:00+00:00,0.0,0.0,1610.0,0.0,1610.0,0.0,0.1,,,,,,,,,,,
2024-10-01 05:00:00+00:00,0.0,0.0,150.0,0.0,150.0,0.0,0.1,,,,,,,,,,,
2024-10-01 05:10:00+00:00,0.0,0.0,830.0,0.0,830.0,0.0,0.1,,,,,,,,,,,
